operacion;estado;t_ini;t_fin;puerto_maquina;busqueda;tipo_busqueda;cant_resultados;tamano_respuesta_bytes;edad;ranking;database
busqueda en db;success;2025-05-10 20:40:34.819468;2025-05-10 20:40:34.819468;8000;tecnologia;tipo_doc;;;35;20.24;tecnologia
busqueda en db;success;2025-05-10 20:40:34.820476;2025-05-10 20:40:34.820476;8000;tecnologia;tipo_doc;;;35;19.36;tecnologia
busqueda en db;success;2025-05-10 20:40:34.820476;2025-05-10 20:40:34.820476;8000;tecnologia;tipo_doc;;;35;18.04;tecnologia
busqueda en db;success;2025-05-10 20:40:34.821467;2025-05-10 20:40:34.821467;8000;tecnologia;tipo_doc;;;35;18.92;tecnologia
busqueda en db;success;2025-05-10 20:40:34.821467;2025-05-10 20:40:34.821467;8000;tecnologia;tipo_doc;;;35;17.16;tecnologia
busqueda en db;success;2025-05-10 20:40:34.821467;2025-05-10 20:40:34.822974;8000;tecnologia;tipo_doc;;;35;17.6;tecnologia
busqueda en db;success;2025-05-10 20:40:34.822974;2025-05-10 20:40:34.822974;8000;tecnologia;tipo_doc;;;35;16.28;tecnologia
mandar_resultados_a_master;success;2025-05-10 20:40:34.817473;2025-05-10 20:40:34.823984;8000;tecnologia;tipo_doc;10;88;35;;
disconect_from_master;success;2025-05-10 20:40:48.251375;2025-05-10 20:40:48.257722;8000;;;;;;;
conection_to_master;success;2025-05-10 20:36:37.983779;2025-05-10 20:36:38.018696;8002;;;;;;;
mandar_resultados_a_master;success;2025-05-10 20:37:30.810908;2025-05-10 20:37:30.841041;8002;busqueda test;titulo;0;56;32;;
busqueda en db;success;2025-05-10 20:38:06.205043;2025-05-10 20:38:06.205043;8002;blockchain del amor test;titulo;;;21;5.025;ciencia_ficcion
mandar_resultados_a_master;success;2025-05-10 20:38:06.205043;2025-05-10 20:38:06.206052;8002;blockchain del amor test;titulo;1;88;21;;
busqueda en db;success;2025-05-10 20:38:52.071982;2025-05-10 20:38:52.071982;8002;cronicas de sombras y runas del mar;titulo;;;23;5.025;ciencia_ficcion
mandar_resultados_a_master;success;2025-05-10 20:38:52.069982;2025-05-10 20:38:52.073488;8002;cronicas de sombras y runas del mar;titulo;1;88;23;;
mandar_resultados_a_master;success;2025-05-10 20:39:14.966688;2025-05-10 20:39:14.968693;8002;arqueologia muestras estelares ;titulo;0;56;32;;
disconect_from_master;success;2025-05-10 20:40:46.390792;2025-05-10 20:40:46.395815;8002;;;;;;;
conection_to_master;success;2025-05-10 20:37:15.472028;2025-05-10 20:37:15.507914;8003;;;;;;;
mandar_resultados_a_master;success;2025-05-10 20:37:31.273807;2025-05-10 20:37:31.307687;8003;busqueda test;titulo;0;56;32;;
busqueda en db;success;2025-05-10 20:37:44.539797;2025-05-10 20:37:44.539797;8003;fantasia;tipo_doc;;;43;16.803;fantasia
busqueda en db;success;2025-05-10 20:37:44.541367;2025-05-10 20:37:44.541436;8003;fantasia;tipo_doc;;;43;16.088;fantasia
busqueda en db;success;2025-05-10 20:37:44.546104;2025-05-10 20:37:44.546104;8003;fantasia;tipo_doc;;;43;15.015;fantasia
busqueda en db;success;2025-05-10 20:37:44.547106;2025-05-10 20:37:44.547106;8003;fantasia;tipo_doc;;;43;13.943;fantasia
busqueda en db;success;2025-05-10 20:37:44.547106;2025-05-10 20:37:44.547106;8003;fantasia;tipo_doc;;;43;15.73;fantasia
busqueda en db;success;2025-05-10 20:37:44.548108;2025-05-10 20:37:44.548108;8003;fantasia;tipo_doc;;;43;17.16;fantasia
busqueda en db;success;2025-05-10 20:37:44.548108;2025-05-10 20:37:44.548108;8003;fantasia;tipo_doc;;;43;14.657;fantasia
busqueda en db;success;2025-05-10 20:37:44.549114;2025-05-10 20:37:44.549114;8003;fantasia;tipo_doc;;;43;13.585;fantasia
busqueda en db;success;2025-05-10 20:37:44.549114;2025-05-10 20:37:44.549114;8003;fantasia;tipo_doc;;;43;15.373;fantasia
busqueda en db;success;2025-05-10 20:37:44.549114;2025-05-10 20:37:44.550106;8003;fantasia;tipo_doc;;;43;12.87;fantasia
mandar_resultados_a_master;success;2025-05-10 20:37:44.539797;2025-05-10 20:37:44.550106;8003;fantasia;tipo_doc;10;88;43;;
busqueda en db;success;2025-05-10 20:38:06.624906;2025-05-10 20:38:06.624906;8003;blockchain del amor test;titulo;;;21;5.3;misterio
busqueda en db;success;2025-05-10 20:38:06.624906;2025-05-10 20:38:06.624906;8003;blockchain del amor test;titulo;;;21;5.315;misterio
busqueda en db;success;2025-05-10 20:38:06.625914;2025-05-10 20:38:06.625914;8003;blockchain del amor test;titulo;;;21;5.338;misterio
busqueda en db;success;2025-05-10 20:38:06.625914;2025-05-10 20:38:06.625914;8003;blockchain del amor test;titulo;;;21;5.315;misterio
busqueda en db;success;2025-05-10 20:38:06.626918;2025-05-10 20:38:06.626918;8003;blockchain del amor test;titulo;;;21;5.3;misterio
busqueda en db;success;2025-05-10 20:38:06.627917;2025-05-10 20:38:06.627917;8003;blockchain del amor test;titulo;;;21;5.465;fantasia
busqueda en db;success;2025-05-10 20:38:06.627917;2025-05-10 20:38:06.627917;8003;blockchain del amor test;titulo;;;21;5.465;fantasia
busqueda en db;success;2025-05-10 20:38:06.628915;2025-05-10 20:38:06.628915;8003;blockchain del amor test;titulo;;;21;5.465;fantasia
busqueda en db;success;2025-05-10 20:38:06.628915;2025-05-10 20:38:06.628915;8003;blockchain del amor test;titulo;;;21;5.465;fantasia
busqueda en db;success;2025-05-10 20:38:06.628915;2025-05-10 20:38:06.628915;8003;blockchain del amor test;titulo;;;21;5.48;fantasia
mandar_resultados_a_master;success;2025-05-10 20:38:06.624574;2025-05-10 20:38:06.629915;8003;blockchain del amor test;titulo;10;88;21;;
busqueda en db;success;2025-05-10 20:38:52.503785;2025-05-10 20:38:52.503785;8003;cronicas de sombras y runas del mar;titulo;;;23;5.3;misterio
busqueda en db;success;2025-05-10 20:38:52.505074;2025-05-10 20:38:52.505074;8003;cronicas de sombras y runas del mar;titulo;;;23;5.315;misterio
busqueda en db;success;2025-05-10 20:38:52.505074;2025-05-10 20:38:52.505074;8003;cronicas de sombras y runas del mar;titulo;;;23;5.338;misterio
busqueda en db;success;2025-05-10 20:38:52.505806;2025-05-10 20:38:52.505806;8003;cronicas de sombras y runas del mar;titulo;;;23;5.315;misterio
busqueda en db;success;2025-05-10 20:38:52.505806;2025-05-10 20:38:52.506794;8003;cronicas de sombras y runas del mar;titulo;;;23;5.375;misterio
busqueda en db;success;2025-05-10 20:38:52.506794;2025-05-10 20:38:52.507815;8003;cronicas de sombras y runas del mar;titulo;;;23;5.465;fantasia
busqueda en db;success;2025-05-10 20:38:52.507815;2025-05-10 20:38:52.507815;8003;cronicas de sombras y runas del mar;titulo;;;23;5.465;fantasia
busqueda en db;success;2025-05-10 20:38:52.507815;2025-05-10 20:38:52.508794;8003;cronicas de sombras y runas del mar;titulo;;;23;5.465;fantasia
busqueda en db;success;2025-05-10 20:38:52.508794;2025-05-10 20:38:52.508794;8003;cronicas de sombras y runas del mar;titulo;;;23;5.54;fantasia
busqueda en db;success;2025-05-10 20:38:52.508794;2025-05-10 20:38:52.508794;8003;cronicas de sombras y runas del mar;titulo;;;23;5.465;fantasia
busqueda en db;success;2025-05-10 20:38:52.508794;2025-05-10 20:38:52.508794;8003;cronicas de sombras y runas del mar;titulo;;;23;5.57;fantasia
busqueda en db;success;2025-05-10 20:38:52.510308;2025-05-10 20:38:52.510308;8003;cronicas de sombras y runas del mar;titulo;;;23;5.48;fantasia
mandar_resultados_a_master;success;2025-05-10 20:38:52.503785;2025-05-10 20:38:52.511319;8003;cronicas de sombras y runas del mar;titulo;12;88;23;;
mandar_resultados_a_master;success;2025-05-10 20:39:15.379216;2025-05-10 20:39:15.381158;8003;arqueologia muestras estelares ;titulo;0;56;32;;
busqueda en db;success;2025-05-10 20:40:09.258574;2025-05-10 20:40:09.258574;8003;misterio;tipo_doc;;;32;20.24;misterio
busqueda en db;success;2025-05-10 20:40:09.258574;2025-05-10 20:40:09.259532;8003;misterio;tipo_doc;;;32;21.12;misterio
busqueda en db;success;2025-05-10 20:40:09.259532;2025-05-10 20:40:09.259532;8003;misterio;tipo_doc;;;32;20.68;misterio
busqueda en db;success;2025-05-10 20:40:09.259532;2025-05-10 20:40:09.260533;8003;misterio;tipo_doc;;;32;19.8;misterio
busqueda en db;success;2025-05-10 20:40:09.260533;2025-05-10 20:40:09.260533;8003;misterio;tipo_doc;;;32;18.92;misterio
busqueda en db;success;2025-05-10 20:40:09.260533;2025-05-10 20:40:09.260533;8003;misterio;tipo_doc;;;32;19.36;misterio
busqueda en db;success;2025-05-10 20:40:09.261532;2025-05-10 20:40:09.261532;8003;misterio;tipo_doc;;;32;18.48;misterio
busqueda en db;success;2025-05-10 20:40:09.261532;2025-05-10 20:40:09.261532;8003;misterio;tipo_doc;;;32;18.04;misterio
busqueda en db;success;2025-05-10 20:40:09.261532;2025-05-10 20:40:09.261532;8003;misterio;tipo_doc;;;32;20.68;misterio
busqueda en db;success;2025-05-10 20:40:09.263039;2025-05-10 20:40:09.263039;8003;misterio;tipo_doc;;;32;19.8;misterio
mandar_resultados_a_master;success;2025-05-10 20:40:09.258574;2025-05-10 20:40:09.263561;8003;misterio;tipo_doc;10;88;32;;
busqueda en db;success;2025-05-10 20:40:36.053977;2025-05-10 20:40:36.053977;8003;fantasia;tipo_doc;;;35;16.803;fantasia
busqueda en db;success;2025-05-10 20:40:36.053977;2025-05-10 20:40:36.053977;8003;fantasia;tipo_doc;;;35;16.088;fantasia
